                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 3.5109,                 5.1168,                 3.9138,                0.36146,                0.00537,                0.00014,                  3e-05,                 3.3469,                 661.75,                 5.6564,                0.00838,                0.00838,                0.00838
                     38,                  3.382,                 4.7575,                 3.8853,                0.00038,                0.02888,                0.00057,                  8e-05,                   3.33,                  248.8,                 4.5182,               0.008335,               0.008335,               0.008335
                     39,                 3.5337,                 5.0823,                 3.8499,                0.36228,                0.00803,                0.00021,                  4e-05,                 3.3693,                 440.12,                 5.1913,                0.00829,                0.00829,                0.00829
                     40,                  3.551,                 4.9889,                 3.9009,                0.40302,                0.02095,                0.00105,                0.00031,                 3.3325,                 69.251,                 4.2299,               0.008245,               0.008245,               0.008245
                     41,                 3.3889,                 4.7978,                 3.8107,                0.71038,                0.02135,                0.00661,                0.00258,                 3.3545,                 25.035,                  4.067,                 0.0082,                 0.0082,                 0.0082
                     42,                 3.2418,                 4.6085,                  3.815,                0.00173,                0.04098,                0.00158,                0.00055,                 3.5043,                 9.6889,                 4.2977,               0.008155,               0.008155,               0.008155
                     43,                 3.3642,                  5.026,                 3.8021,                0.50053,                0.02965,                0.00346,                0.00075,                 3.4055,                 11.552,                 4.2557,                0.00811,                0.00811,                0.00811
                     44,                 3.5442,                   4.67,                 3.8084,                0.60137,                0.02849,                 0.0112,                0.00387,                 3.3441,                 52.356,                 4.4182,               0.008065,               0.008065,               0.008065
                     45,                 3.5397,                 4.7795,                 3.8062,                0.00207,                0.03254,                0.00653,                0.00171,                 3.3875,                 17.783,                 4.2539,                0.00802,                0.00802,                0.00802
                     46,                 3.5042,                 4.9598,                 3.8122,                0.57159,                0.02027,                0.00716,                0.00165,                 3.3677,                  48.88,                 4.3225,               0.007975,               0.007975,               0.007975
                     47,                  3.207,                 4.5241,                 3.7336,                  0.696,                0.02773,                0.00864,                 0.0015,                 3.3489,                 65.468,                 4.2312,                0.00793,                0.00793,                0.00793
                     48,                 3.2326,                 4.8097,                  3.731,                0.00289,                0.04734,                0.00667,                0.00172,                 3.2881,                 35.422,                 3.9354,               0.007885,               0.007885,               0.007885
                     49,                 3.2395,                 4.6431,                 3.6871,                0.64339,                0.02299,                0.00465,                0.00147,                 3.2964,                 67.278,                 3.8938,                0.00784,                0.00784,                0.00784
                     50,                  3.162,                 4.5751,                 3.6622,                0.58383,                0.01389,                 0.0047,                0.00168,                 3.3388,                 25.623,                 3.8105,               0.007795,               0.007795,               0.007795
                     51,                 3.4958,                 4.6833,                 3.7052,                0.65491,                0.02639,                0.01074,                0.00276,                 3.2315,                 62.359,                  3.832,                0.00775,                0.00775,                0.00775
                     52,                  3.417,                 4.6683,                 3.6966,                0.35585,                0.01663,                0.00265,                 0.0007,                 3.2366,                 86.607,                 3.7624,               0.007705,               0.007705,               0.007705
                     53,                 3.4344,                 4.6077,                 3.6421,                0.46775,                0.01641,                0.00881,                 0.0018,                 3.2483,                 68.022,                 3.8065,                0.00766,                0.00766,                0.00766
                     54,                 3.0989,                 4.3273,                 3.5751,                0.48804,                0.02163,                0.00288,                0.00096,                 3.3121,                 103.42,                 3.8617,               0.007615,               0.007615,               0.007615
                     55,                 3.2588,                 4.1803,                 3.5483,                0.47867,                0.02083,                0.01604,                0.00551,                 3.3773,                 18.642,                 3.7587,                0.00757,                0.00757,                0.00757
                     56,                  3.214,                 4.3477,                 3.6054,                0.43312,                0.02361,                0.00866,                0.00257,                 3.3001,                 52.462,                 3.7187,               0.007525,               0.007525,               0.007525
                     57,                 3.0849,                 4.3712,                 3.5155,                0.20883,                0.02803,                0.01073,                0.00354,                 3.2788,                 41.374,                  3.707,                0.00748,                0.00748,                0.00748
                     58,                  3.189,                 4.1886,                 3.5176,                0.01072,                0.06138,                0.01261,                0.00284,                 3.2534,                 31.015,                  3.706,               0.007435,               0.007435,               0.007435
                     59,                 3.1244,                 4.4482,                 3.5461,                0.30926,                0.00833,                0.01125,                0.00464,                  3.221,                 9.3359,                 3.5987,                0.00739,                0.00739,                0.00739
                     60,                  3.287,                 4.3756,                  3.596,                0.00013,                0.01897,                0.00355,                0.00123,                 3.2124,                 43.252,                 3.6994,               0.007345,               0.007345,               0.007345
