                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 2.3697,                 3.0676,                  2.672,                0.32274,                0.09257,                0.08884,                0.04817,                 2.6076,                 4.6615,                 2.9725,               0.003205,               0.003205,               0.003205
                    153,                 2.4044,                  3.135,                 2.7577,                0.36393,                0.08539,                0.09023,                0.04977,                 2.6018,                 4.6065,                 2.9907,                0.00316,                0.00316,                0.00316
                    154,                 2.3675,                 3.4348,                 2.7132,                0.40013,                0.07746,                0.07726,                0.04226,                   2.57,                 4.6755,                 2.9804,               0.003115,               0.003115,               0.003115
                    155,                 2.3446,                 3.1933,                 2.6867,                0.36354,                 0.0783,                0.09026,                0.04703,                   2.63,                 4.6296,                  2.997,                0.00307,                0.00307,                0.00307
                    156,                 2.4449,                 3.2005,                 2.5863,                0.35253,                0.06644,                0.06759,                0.03318,                 2.6565,                 4.8815,                 3.0125,               0.003025,               0.003025,               0.003025
                    157,                  2.376,                 3.0027,                  2.659,                0.34648,                0.06972,                0.07255,                0.03938,                 2.6504,                 4.8668,                 3.0056,                0.00298,                0.00298,                0.00298
                    158,                 2.4232,                 2.9482,                 2.6475,                 0.4092,                0.07941,                0.10063,                0.05434,                 2.5553,                 4.6735,                 2.9887,               0.002935,               0.002935,               0.002935
                    159,                 2.4152,                 3.0139,                 2.7024,                0.42243,                0.08007,                 0.0965,                 0.0522,                 2.5286,                 4.6979,                 2.9745,                0.00289,                0.00289,                0.00289
                    160,                 2.4407,                 3.3807,                  2.726,                 0.3915,                 0.0873,                  0.089,                0.05151,                  2.568,                 4.7152,                 3.0032,               0.002845,               0.002845,               0.002845
                    161,                 2.4051,                 3.0238,                 2.5226,                0.36787,                0.10502,                 0.1062,                0.05821,                  2.556,                 4.5802,                 2.9654,                 0.0028,                 0.0028,                 0.0028
                    162,                 2.2287,                 2.7783,                 2.6333,                0.39171,                0.09399,                0.10157,                0.05488,                 2.6462,                 4.6974,                 3.0025,               0.002755,               0.002755,               0.002755
                    163,                 2.2115,                 2.8209,                 2.6261,                0.37868,                0.09806,                 0.0989,                0.05472,                 2.6224,                 4.7262,                 3.0027,                0.00271,                0.00271,                0.00271
                    164,                 2.2475,                 2.9568,                 2.5837,                0.38303,                0.09805,                0.10013,                0.05587,                  2.621,                 4.7446,                 3.0084,               0.002665,               0.002665,               0.002665
                    165,                 2.3582,                 3.4506,                 2.6949,                0.37834,                0.09235,                0.09552,                0.05338,                 2.6149,                 4.6763,                 2.9983,                0.00262,                0.00262,                0.00262
                    166,                 2.4197,                 3.2276,                 2.6492,                0.41063,                0.08367,                0.10141,                0.05636,                  2.599,                 4.5056,                 2.9922,               0.002575,               0.002575,               0.002575
                    167,                 2.3384,                 3.1199,                 2.6465,                0.42581,                0.09228,                0.10384,                0.05701,                 2.5767,                 4.4592,                 2.9844,                0.00253,                0.00253,                0.00253
                    168,                 2.2725,                 3.1228,                 2.5527,                0.40067,                0.08076,                0.09514,                0.05177,                 2.5299,                 4.5958,                 3.0048,               0.002485,               0.002485,               0.002485
                    169,                 2.4759,                 3.2202,                 2.6993,                 0.3885,                  0.089,                 0.0976,                0.05239,                 2.5078,                 4.5964,                 3.0034,                0.00244,                0.00244,                0.00244
                    170,                  2.329,                 3.1104,                 2.6572,                0.40243,                0.09156,                0.10682,                0.05691,                 2.5013,                 4.5593,                 2.9783,               0.002395,               0.002395,               0.002395
                    171,                 2.3086,                 2.9123,                 2.6168,                0.46299,                0.07178,                0.09345,                0.04904,                 2.5195,                 4.5711,                 2.9993,                0.00235,                0.00235,                0.00235
                    172,                 2.3314,                 3.0654,                 2.6583,                0.44056,                0.09477,                0.10583,                0.05744,                 2.5333,                 4.5672,                 2.9705,               0.002305,               0.002305,               0.002305
                    173,                 2.2257,                 2.8089,                 2.5965,                0.36789,                0.09845,                0.10582,                 0.0572,                 2.4994,                 4.4805,                 2.9563,                0.00226,                0.00226,                0.00226
                    174,                 2.2742,                 2.9391,                 2.5478,                0.41074,                0.09741,                 0.1012,                0.05536,                 2.5143,                 4.4836,                  2.967,               0.002215,               0.002215,               0.002215
                    175,                 2.2132,                 2.8955,                 2.6156,                0.41889,                0.09125,                0.09699,                0.05313,                 2.4904,                 4.6818,                 2.9775,                0.00217,                0.00217,                0.00217
                    176,                 2.3682,                 3.1292,                 2.6639,                0.39701,                0.10544,                0.10314,                0.05455,                 2.5256,                 4.6105,                 2.9649,               0.002125,               0.002125,               0.002125
                    177,                 2.2862,                  2.747,                 2.5301,                0.41679,                0.09609,                0.10449,                0.05522,                 2.4915,                 4.5149,                  2.935,                0.00208,                0.00208,                0.00208
                    178,                 2.2537,                 2.9221,                 2.5833,                0.42649,                0.08129,                0.09853,                0.05253,                 2.4957,                 4.4975,                 2.9329,               0.002035,               0.002035,               0.002035
                    179,                 2.2318,                 3.2626,                 2.6105,                0.44115,                 0.0767,                0.10011,                0.05443,                 2.5085,                 4.4968,                 2.9364,                0.00199,                0.00199,                0.00199
                    180,                 2.2247,                 2.7598,                 2.5726,                0.45586,                0.07092,                0.09921,                0.05346,                 2.4991,                 4.4446,                 2.9199,               0.001945,               0.001945,               0.001945
                    181,                 2.2208,                 2.8301,                 2.5864,                0.42091,                0.08699,                0.10281,                 0.0572,                 2.5221,                 4.4982,                 2.9251,                 0.0019,                 0.0019,                 0.0019
                    182,                 2.2844,                 2.8374,                 2.5742,                 0.4598,                0.08735,                0.10382,                0.05832,                 2.4869,                 4.4091,                 2.9266,               0.001855,               0.001855,               0.001855
                    183,                 2.2197,                 2.6172,                 2.4308,                0.47881,                  0.086,                0.10323,                0.05882,                 2.5059,                 4.4627,                 2.9283,                0.00181,                0.00181,                0.00181
                    184,                 2.2209,                 2.8045,                  2.588,                0.43448,                0.09766,                0.10729,                0.06186,                 2.5453,                 4.5074,                 2.9358,               0.001765,               0.001765,               0.001765
                    185,                 2.3463,                 2.9399,                 2.6163,                0.43649,                 0.0913,                0.10842,                0.06302,                 2.5558,                 4.5388,                 2.9274,                0.00172,                0.00172,                0.00172
                    186,                 2.2537,                 2.8013,                 2.5235,                0.43145,                0.09605,                0.10731,                 0.0644,                 2.5085,                 4.5709,                 2.9158,               0.001675,               0.001675,               0.001675
                    187,                 2.3214,                 3.0226,                  2.614,                0.43618,                0.09381,                 0.1156,                 0.0674,                 2.5368,                 4.5836,                 2.9218,                0.00163,                0.00163,                0.00163
                    188,                  2.248,                 2.7157,                 2.5589,                0.40041,                0.09532,                0.11016,                0.06342,                 2.5347,                  4.578,                 2.9216,               0.001585,               0.001585,               0.001585
                    189,                  2.274,                 3.0314,                  2.603,                0.43355,                 0.0996,                0.11122,                0.06516,                 2.5255,                 4.5946,                 2.9158,                0.00154,                0.00154,                0.00154
                    190,                 2.2855,                 2.9721,                 2.5614,                0.46961,                0.09538,                0.11172,                0.06318,                 2.5115,                 4.5869,                 2.9131,               0.001495,               0.001495,               0.001495
                    191,                 2.3276,                 2.7936,                 2.5965,                0.43653,                0.10507,                0.10832,                0.06091,                 2.5183,                  4.593,                 2.9123,                0.00145,                0.00145,                0.00145
                    192,                 2.1812,                 2.6078,                 2.5169,                 0.4337,                0.10383,                0.11179,                0.06214,                 2.5087,                 4.5604,                 2.9101,               0.001405,               0.001405,               0.001405
                    193,                 2.2849,                 3.2903,                 2.6528,                0.46594,                0.09767,                0.11219,                0.06132,                 2.5079,                 4.5457,                 2.9102,                0.00136,                0.00136,                0.00136
                    194,                 2.1965,                 3.0265,                 2.5651,                0.47823,                0.09946,                0.11737,                0.06529,                 2.4941,                  4.469,                 2.9081,               0.001315,               0.001315,               0.001315
                    195,                 2.3076,                 2.9594,                 2.5329,                 0.4231,                 0.1022,                0.12122,                0.06747,                 2.4923,                 4.5257,                 2.9051,                0.00127,                0.00127,                0.00127
                    196,                 2.1111,                 3.0178,                 2.4793,                 0.4745,                0.08551,                0.12252,                0.06719,                 2.4834,                 4.5203,                 2.9017,               0.001225,               0.001225,               0.001225
                    197,                 2.3052,                 2.9375,                 2.5314,                0.45248,                 0.1059,                0.12311,                0.06545,                 2.5004,                 4.5363,                  2.911,                0.00118,                0.00118,                0.00118
                    198,                 2.2062,                   2.61,                 2.4737,                0.46339,                0.10451,                0.12232,                0.06516,                 2.5355,                 4.5541,                 2.9183,               0.001135,               0.001135,               0.001135
                    199,                 2.1746,                  2.721,                 2.5201,                0.47238,                0.10475,                0.11713,                0.06162,                 2.5526,                 4.5682,                 2.9175,                0.00109,                0.00109,                0.00109
                    200,                 2.1705,                 2.7913,                 2.4428,                0.47327,                0.10355,                0.11574,                0.06103,                  2.536,                 4.5295,                  2.917,               0.001045,               0.001045,               0.001045
                    201,                  2.219,                 2.7269,                 2.4722,                0.46262,                0.09922,                0.11378,                0.06135,                  2.541,                 4.5202,                 2.9074,                  0.001,                  0.001,                  0.001
                    202,                  2.185,                  2.798,                 2.5498,                0.44671,                 0.1076,                0.11512,                 0.0638,                 2.5295,                 4.5308,                 2.9047,               0.000955,               0.000955,               0.000955
                    203,                 2.1801,                 2.8046,                  2.551,                 0.4102,                 0.1224,                0.12104,                0.06811,                 2.5227,                 4.5286,                 2.9015,                0.00091,                0.00091,                0.00091
                    204,                 2.1104,                 2.7363,                  2.479,                  0.399,                0.11732,                0.11981,                0.06653,                 2.4943,                 4.5255,                 2.8959,               0.000865,               0.000865,               0.000865
                    205,                 2.1526,                 3.1043,                 2.5587,                0.42529,                0.11957,                0.12559,                0.07163,                 2.5058,                 4.4915,                 2.8903,                0.00082,                0.00082,                0.00082
                    206,                 2.2041,                 2.7188,                 2.3915,                 0.4616,                0.11866,                  0.126,                0.07061,                 2.5027,                 4.4675,                 2.8925,               0.000775,               0.000775,               0.000775
                    207,                 2.2263,                 2.7719,                 2.4174,                0.43564,                0.11892,                0.12539,                0.07225,                 2.5018,                 4.4572,                 2.8906,                0.00073,                0.00073,                0.00073
                    208,                 2.1582,                 2.7834,                 2.4598,                0.43677,                0.11772,                0.12399,                0.07065,                 2.5037,                 4.4445,                 2.8855,               0.000685,               0.000685,               0.000685
                    209,                  2.132,                 2.8222,                 2.5952,                0.42657,                0.11491,                  0.123,                0.06943,                 2.5147,                 4.4589,                 2.8876,                0.00064,                0.00064,                0.00064
                    210,                 2.1638,                 2.8984,                 2.4748,                0.42837,                0.11326,                0.12241,                0.06845,                 2.5003,                 4.4462,                 2.8889,               0.000595,               0.000595,               0.000595
                    211,                 2.1059,                 2.6654,                 2.4534,                0.42871,                 0.1091,                0.12032,                0.06833,                 2.5007,                 4.4429,                 2.8916,                0.00055,                0.00055,                0.00055
                    212,                 2.1481,                 2.8696,                 2.5637,                0.41725,                0.11272,                0.11373,                0.06605,                 2.4913,                 4.4402,                 2.8875,               0.000505,               0.000505,               0.000505
                    213,                   2.27,                 2.7514,                 2.4979,                0.40222,                0.11573,                0.11404,                0.06678,                 2.4849,                 4.4397,                 2.8882,                0.00046,                0.00046,                0.00046
                    214,                   2.19,                 2.7399,                 2.4454,                0.41837,                0.11077,                0.12045,                0.06975,                 2.4838,                 4.4178,                  2.887,               0.000415,               0.000415,               0.000415
                    215,                 2.2354,                 2.7723,                 2.4391,                0.44497,                0.10444,                0.12283,                0.07023,                  2.477,                 4.4054,                 2.8848,                0.00037,                0.00037,                0.00037
                    216,                 2.3252,                 3.2632,                 2.7044,                0.47083,                0.09504,                0.12146,                 0.0699,                 2.4566,                 4.3873,                 2.8762,               0.000325,               0.000325,               0.000325
                    217,                  2.259,                 2.9681,                 2.6032,                0.47301,                0.09959,                0.11967,                0.06737,                 2.4547,                 4.3951,                 2.8754,                0.00028,                0.00028,                0.00028
                    218,                 2.0143,                 2.6981,                 2.4539,                0.47202,                0.09722,                0.11851,                0.06714,                 2.4551,                 4.4085,                 2.8751,               0.000235,               0.000235,               0.000235
                    219,                  2.223,                 2.7337,                  2.545,                0.47809,                0.09519,                0.11857,                0.06793,                 2.4531,                 4.3968,                 2.8756,                0.00019,                0.00019,                0.00019
